;1000 elementos;;;;;;;;;;;;;
;Bubble Sort;;;;;Insert Sort;;;;;Quick Sort;;;
;sorted list;half sorted list;reverse list;random list;;sorted list;half sorted list;reverse list;random list;;sorted list;half sorted list;reverse list;random list
Repetição 1;0,365800;0,748500;0,756600;0,640300;;0,001300;0,435700;0,405300;0,207100;;0,924000;0,639600;0,623600;0,042200
Repetição 2;0,566400;0,759200;0,749400;0,626500;;0,001200;0,420400;0,405400;0,206300;;0,949000;0,643400;0,613900;0,025300
Repetição 3;0,369400;0,759700;0,756400;0,612400;;0,001200;0,420400;0,405700;0,216000;;0,948200;0,646100;0,612300;0,017500
Repetição 4;0,366100;0,750400;0,750800;0,604000;;0,001200;0,419700;0,405400;0,205300;;1,092700;0,643800;0,618700;0,015400
Repetição 5;0,365900;0,752600;0,747400;0,595000;;0,001200;0,425600;0,411100;0,207500;;0,907600;0,643300;0,612600;0,014700
Média de tempo;0,63214ms;;;;;0,26015ms;;;;;0,561695ms;;;
Comparações;499500;499500;499500;499500;;999;499500;499500;248005;;499500;499500;499500;10048
Média de comparações;499500;;;;;312001;;;;;377137;;;
;;;;;;;;;;;;;;
;5000 elementos;;;;;;;;;;;;;
;Bubble Sort;;;;;Insert Sort;;;;;Quick Sort;;;
;sorted list;half sorted list;reverse list;random list;;sorted list;half sorted list;reverse list;random list;;sorted list;half sorted list;reverse list;random list
Repetição 1;8,77620;18,08470;18,23950;14,42450;;0.005700;15,50710;10,22360;5,59510;;22,77990;14,42380;14,31110;0.261500
Repetição 2;8,79230;18,13240;18,11630;14,42530;;0.005500;11,99210;10,26880;6,00090;;22,50970;14,18620;14,43100;0.245900
Repetição 3;8,70840;18,15140;18,05440;14,48830;;0.005700;15,20980;10,18390;5,53790;;25,64450;14,27430;14,52490;0.230900
Repetição 4;8,77250;18,12000;18,83600;14,46330;;0.005600;11,91110;10,78340;5,02940;;22,64930;14,54840;14,47590;0.226000
Repetição 5;8,72270;37,90500;18,36560;14,65920;;0.005600;10,12680;10,21500;5,16580;;22,34700;14,63870;15,05940;0.223800
Média;15,9119ms;;;;;7,187535ms;;;;;13,040205ms;;;
Comparações;12497500;12497500;12497500;12497500;;4999;12497500;12497500;6134107;;12497500;12497500;12497500;71212
Média de comparações;12497500;;;;;7783526,5;;;;;9390928;;;
;;;;;;;;;;;;;;
;10000 elementos;;;;;;;;;;;;;
;Bubble Sort;;;;;Insert Sort;;;;;Quick Sort;;;
;sorted list;half sorted list;reverse list;random list;;sorted list;half sorted list;reverse list;random list;;sorted list;half sorted list;reverse list;random list
Repetição 1;35,46240;72,73920;72,90910;58,35490;;0.011200;40,49130;40,61040;20,84530;;85,11360;63,30040;58,76310;0.549300
Repetição 2;35,01030;72,20310;72,73000;56,82820;;0.011100;40,63070;41,39350;20,17140;;85,44290;58,38190;56,79960;0.736700
Repetição 3;35,74650;72,31940;73,82310;58,91000;;0.011300;40,73270;40,69660;20,26430;;85,91020;57,37380;57,16380;0.707700
Repetição 4;35,02260;74,05420;74,92030;57,12930;;0.011200;40,88040;41,24670;20,66890;;87,71930;56,42560;56,81180;0.606900
Repetição 5;35,01420;74,73390;72,87590;57,86330;;0.011100;40,52960;41,81860;20,43870;;87,15570;57,16400;58,38770;0.645800
Média;59,932495ms;;;;;25,570955ms;;;;;50,59567ms;;;
Comparações;49995000;49995000;49995000;49995000;;9999;49995000;49995000;24855624;;49995000;49995000;49995000;159785
Média de comparações;49995000;;;;;31213905,75;;;;;37536196,25;;;
